Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Critic_Score,User_Score,Rating
Xena: Warrior Princess,PS,1998,Adventure,Electronic Arts,0.33,0.23,0.0,72.0,7.5,
Okami,Wii,2008,Action,Capcom,0.43,0.09,0.04,90.0,8.9,T
New Play Control! Pikmin 2,Wii,2009,Strategy,Nintendo,0.11,0.13,0.33,72.0,7.5,
LEGO The Hobbit,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.13,0.38,0.0,72.0,6.6,E10+
Front Mission,SNES,1995,Strategy,SquareSoft,0.0,0.0,0.6,72.0,7.5,
WWE 2K17,PS4,2016,Sports,Take-Two Interactive,0.17,0.34,0.0,69.0,6.9,T
Just Dance 2014,WiiU,2013,Misc,Ubisoft,0.31,0.23,0.0,72.0,7.6,E10+
New Play Control! Donkey Kong Jungle Beat,Wii,2008,Platform,Nintendo,0.23,0.17,0.14,72.0,7.5,
Avatar: The Game,PSP,2009,Action,Ubisoft,0.22,0.24,0.0,72.0,7.5,
NHL 15,PS4,2014,Sports,Electronic Arts,0.31,0.19,0.0,60.0,3.6,E10+
Total War: Shogun 2,PC,2011,Strategy,Sega,0.19,0.31,0.0,90.0,8.3,T
Dai-2-Ji Super Robot Taisen α,PS2,2003,Strategy,Banpresto,0.0,0.0,0.6,72.0,7.5,
PGR3 - Project Gotham Racing 3,X360,2005,Racing,Microsoft Game Studios,0.49,0.03,0.03,72.0,7.5,
Dragon Age: Inquisition,PS3,2014,Role-Playing,Electronic Arts,0.27,0.18,0.05,72.0,5.2,M
SimCity DS,DS,2007,Simulation,Electronic Arts,0.33,0.02,0.21,69.0,6.3,E
Hot Wheels: Stunt Track Challenge,PS2,2004,Racing,THQ,0.29,0.23,0.0,62.0,8.1,E
Dai-3-Ji Super Robot Taisen α: Shuuen no Ginga e,PS2,2005,Strategy,Banpresto,0.0,0.0,0.59,72.0,7.5,
FIFA 15,PSV,2014,Sports,Electronic Arts,0.08,0.35,0.05,72.0,3.1,E
Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,PS,1997,Sports,Konami Digital Entertainment,0.0,0.0,0.56,72.0,7.5,
Monopoly,X360,2008,Misc,Electronic Arts,0.34,0.2,0.0,56.0,5.8,E
Tony Hawk: RIDE,PS3,2009,Sports,Activision,0.38,0.14,0.0,44.0,2.1,E10+
CyberTiger,PS,1998,Sports,Electronic Arts,0.33,0.22,0.0,72.0,7.5,
Jampack Fall 2001,PS,2001,Misc,Sony Computer Entertainment,0.33,0.22,0.0,72.0,7.5,
Medal of Honor: Frontline,GC,2002,Shooter,Electronic Arts,0.46,0.12,0.0,80.0,7.9,T
Dead Space,PC,2008,Action,Electronic Arts,0.0,0.53,0.0,86.0,8.0,M
Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PS,1998,Sports,Konami Digital Entertainment,0.0,0.0,0.55,72.0,7.5,
Rock Band 2,PS2,2008,Misc,MTV Games,0.29,0.23,0.0,72.0,8.0,T
NHL 11,PS3,2010,Sports,Electronic Arts,0.4,0.12,0.0,88.0,7.1,E10+
Yakuza 5,PS3,2012,Action,Sega,0.0,0.0,0.59,83.0,8.5,M
BurgerTime,2600,1981,Puzzle,Mattel Interactive,0.55,0.03,0.0,72.0,7.5,
2002 FIFA World Cup,PS2,2002,Sports,Electronic Arts,0.21,0.17,0.16,73.0,5.6,E
MVP Baseball 2004,XB,2004,Sports,Electronic Arts,0.44,0.13,0.0,90.0,8.5,E
Crash Bandicoot: The Wrath of Cortex,GC,2002,Platform,Universal Interactive,0.46,0.12,0.0,62.0,7.3,E
Smurf: Rescue In Gargamel's Castle,2600,1981,Action,Coleco,0.55,0.03,0.0,72.0,7.5,
Beijing 2008,X360,2008,Sports,Sega,0.15,0.38,0.0,72.0,7.5,
Pokemon Trozei!,DS,2005,Puzzle,Nintendo,0.25,0.0,0.31,72.0,7.5,
WWE 2K16,XOne,2015,Sports,Take-Two Interactive,0.32,0.22,0.0,72.0,5.7,T
Extreme-G,N64,1997,Racing,Acclaim Entertainment,0.47,0.11,0.0,72.0,7.5,
Ready 2 Rumble Boxing,N64,1999,Sports,Midway Games,0.47,0.11,0.0,72.0,7.5,
Assassin's Creed: Brotherhood,PC,2011,Action,Ubisoft,0.15,0.34,0.0,88.0,8.2,M
Spelling Challenges and more!,DS,2007,Misc,505 Games,0.54,0.0,0.0,72.0,7.5,
Dead or Alive Xtreme Beach Volleyball,XB,2003,Sports,Microsoft Game Studios,0.36,0.08,0.14,73.0,7.8,M
Tales of Rebirth,PS2,2004,Role-Playing,Namco Bandai Games,0.0,0.0,0.59,72.0,7.5,
Silent Hill: Shattered Memories,PS2,2010,Action,Konami Digital Entertainment,0.13,0.22,0.01,77.0,6.8,M
Blur,X360,2010,Racing,Activision,0.25,0.27,0.0,82.0,8.3,E10+
Barbie: Race & Ride,PS,1999,Action,Sony Computer Entertainment,0.33,0.22,0.0,72.0,7.5,
Kane & Lynch 2: Dog Days,PS3,2010,Shooter,Square Enix,0.17,0.27,0.05,72.0,7.5,
Madden NFL 06,X360,2007,Sports,Electronic Arts,0.54,0.0,0.01,74.0,4.9,E
Asphalt: Urban GT,DS,2004,Racing,Ubisoft,0.31,0.22,0.0,60.0,7.5,E
Mega Man Anniversary Collection,PS2,2004,Platform,Capcom,0.29,0.22,0.0,81.0,9.0,E
Metal Gear Solid V: Ground Zeroes,PS3,2014,Action,Konami Digital Entertainment,0.14,0.12,0.27,66.0,5.9,M
Harvest Moon: Friends of Mineral Town,GBA,2003,Simulation,Ubisoft,0.34,0.13,0.11,81.0,9.6,E
Backyard NBA Basketball,PS2,2003,Sports,Atari,0.29,0.22,0.0,72.0,7.5,
Ben 10: Alien Force,PSP,2008,Action,Koch Media,0.35,0.13,0.0,72.0,7.7,E10+
Naruto: The Broken Bond,X360,2008,Action,Ubisoft,0.24,0.28,0.0,80.0,7.8,T
Kirby's Dream Course,SNES,1994,Sports,Nintendo,0.0,0.0,0.59,72.0,7.5,
WarioWare D.I.Y.,DS,2009,Misc,Nintendo,0.17,0.18,0.2,82.0,8.7,E
Iron Man,Wii,2008,Action,Sega,0.3,0.22,0.0,44.0,7.0,T
The Fight: Lights Out,PS3,2010,Fighting,Sony Computer Entertainment,0.29,0.21,0.0,48.0,7.5,T
Mega Man X7,PS2,2003,Action,Capcom,0.22,0.17,0.14,58.0,5.1,E
Deus Ex: Human Revolution,PC,2011,Shooter,Square Enix,0.25,0.25,0.0,90.0,8.5,M
Final Fantasy Anniversary Edition,PSP,2007,Role-Playing,Square Enix,0.39,0.02,0.13,67.0,7.7,E10+
SoulCalibur V,X360,2012,Fighting,Namco Bandai Games,0.39,0.13,0.02,77.0,6.2,T
Tokimeki Memorial: Forever with You,PS,1995,Simulation,Konami Digital Entertainment,0.0,0.0,0.55,72.0,7.5,
Diablo,PS,1997,Role-Playing,Electronic Arts,0.29,0.19,0.07,72.0,7.5,
Q*bert,2600,1982,Puzzle,Parker Bros.,0.55,0.03,0.0,72.0,7.5,
Romancing SaGa,PS2,2005,Role-Playing,Square Enix,0.06,0.04,0.47,58.0,8.0,E10+
Lost: Via Domus,X360,2008,Action,Ubisoft,0.18,0.34,0.0,55.0,6.4,T
Top Spin 3,Wii,2008,Action,Take-Two Interactive,0.15,0.37,0.0,68.0,5.7,E
Game Party in Motion,X360,2010,Misc,Warner Bros. Interactive Entertainment,0.36,0.17,0.0,33.0,3.7,E
The Lord of the Rings: The Third Age,PS2,2004,Role-Playing,Electronic Arts,0.49,0.02,0.0,73.0,8.2,T
Call of Duty: Black Ops,DS,2010,Shooter,Activision,0.5,0.04,0.0,74.0,6.0,T
Disney Sing It! High School Musical 3: Senior Year,Wii,2008,Misc,Disney Interactive Studios,0.31,0.23,0.0,72.0,7.5,
NCAA Football 09,PS3,2008,Sports,Electronic Arts,0.54,0.0,0.0,81.0,7.3,E
Sonic & All-Stars Racing Transformed,X360,2012,Racing,Sega,0.2,0.33,0.0,72.0,7.5,
MLB 11: The Show,PS3,2011,Sports,Sony Computer Entertainment,0.54,0.0,0.0,90.0,7.8,E
Jeopardy!,Wii,2010,Misc,THQ,0.55,0.0,0.0,72.0,7.5,
"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",X360,2010,Shooter,Activision,0.38,0.15,0.0,72.0,7.5,
Kinect Rush: A Disney Pixar Adventure,X360,2012,Adventure,Microsoft Game Studios,0.38,0.15,0.0,68.0,5.1,E
Sammy Sosa High Heat Baseball 2001,PS,2000,Sports,3DO,0.32,0.22,0.0,72.0,7.5,
Skylanders SWAP Force,WiiU,2013,Platform,Activision,0.38,0.15,0.0,89.0,6.0,E10+
Terminator 3: Rise of the Machines,PS2,2003,Action,Atari,0.28,0.22,0.0,38.0,6.3,T
Guitar Hero: Smash Hits,Wii,2009,Misc,Activision,0.31,0.21,0.0,74.0,7.7,T
Tom Clancy's HAWX,X360,2009,Action,Ubisoft,0.31,0.19,0.02,73.0,7.3,T
Alice: Madness Returns,PS3,2011,Adventure,Electronic Arts,0.22,0.24,0.04,70.0,7.9,M
Shin Megami Tensei IV,3DS,2013,Role-Playing,Atlus,0.28,0.0,0.27,83.0,8.3,M
NBA 2K7,X360,2006,Sports,Take-Two Interactive,0.53,0.0,0.0,84.0,7.8,E
International Superstar Soccer '98,N64,1998,Sports,Konami Digital Entertainment,0.06,0.3,0.19,72.0,7.5,
FIFA: Road to  World Cup 98,N64,1997,Sports,Electronic Arts,0.15,0.39,0.0,72.0,7.5,
World Cup 98,N64,1998,Sports,Electronic Arts,0.14,0.4,0.0,72.0,7.5,
NHL 12,PS3,2011,Sports,Electronic Arts,0.36,0.15,0.0,86.0,7.5,E10+
NASCAR: Dirt to Daytona,PS2,2007,Racing,Unknown,0.28,0.22,0.0,84.0,8.8,E
Unreal Tournament,PS2,2000,Shooter,Infogrames,0.28,0.22,0.0,77.0,6.8,M
Digimon World 2,PS,2000,Role-Playing,Namco Bandai Games,0.23,0.16,0.16,42.0,7.6,E
Tales of Phantasia,PS,1998,Role-Playing,Namco Bandai Games,0.0,0.0,0.54,72.0,7.5,
Prince of Persia: The Two Thrones,XB,2005,Action,Ubisoft,0.33,0.22,0.0,85.0,8.4,M
Xenosaga Episode II: Jenseits von Gut und Böse,PS2,2004,Role-Playing,Sony Computer Entertainment,0.28,0.22,0.0,72.0,7.5,
Gex: Enter the Gecko,PS,1998,Platform,BMG Interactive Entertainment,0.32,0.22,0.0,72.0,7.5,
Shrek 2: Beg for Mercy,GBA,2004,Adventure,Activision,0.42,0.15,0.0,72.0,7.5,
FIFA Soccer 10,DS,2009,Sports,Electronic Arts,0.14,0.37,0.0,72.0,7.6,E
JoJo's Bizarre Adventure: All Star Battle,PS3,2013,Fighting,Namco Bandai Games,0.05,0.02,0.5,71.0,8.3,T
Contra: Shattered Soldier,PS2,2002,Shooter,Konami Digital Entertainment,0.28,0.22,0.0,78.0,6.6,T
Championship Motocross featuring Ricky Carmichael,PS,1998,Racing,THQ,0.32,0.22,0.0,72.0,7.5,
Dragon Ball Z: Chou Saiya Densetsu,SNES,1992,Role-Playing,Namco Bandai Games,0.0,0.0,0.58,72.0,7.5,
Final Fantasy: The 4 Heroes of Light,DS,2009,Role-Playing,Square Enix,0.22,0.1,0.23,71.0,7.1,E10+
Rayman Legends,PS3,2013,Platform,Ubisoft,0.14,0.34,0.0,91.0,8.7,E10+
Fire Emblem: Seisen no Keifu,SNES,1996,Strategy,Nintendo,0.0,0.0,0.58,72.0,7.5,
FIFA Soccer,PSV,2012,Sports,Electronic Arts,0.16,0.32,0.02,79.0,7.2,E
Tenchu 2: Birth of the Stealth Assassins,PS,2000,Action,Activision,0.32,0.22,0.0,77.0,8.7,M
Tony Hawk's Pro Skater 4,GC,2002,Sports,Activision,0.45,0.12,0.0,91.0,8.6,T
Go Diego Go! Great Dinosaur Rescue,Wii,2008,Action,Take-Two Interactive,0.52,0.02,0.0,72.0,7.5,
Naruto: Uzumaki Chronicles 2,PS2,2006,Action,Namco Bandai Games,0.28,0.22,0.0,52.0,6.9,T
NHL 06,PS2,2005,Sports,Electronic Arts,0.48,0.02,0.0,78.0,8.5,E10+
Parasite Eve II,PS,1999,Role-Playing,SquareSoft,0.32,0.22,0.0,79.0,9.0,M
NFL Blitz 2000,N64,1999,Sports,Midway Games,0.55,0.02,0.0,72.0,7.5,
Skate it,Wii,2008,Sports,Electronic Arts,0.5,0.03,0.0,70.0,8.4,E
Pro Evolution Soccer 2015,PS3,2014,Sports,Konami Digital Entertainment,0.1,0.2,0.22,72.0,7.8,E
London 2012: The Official Video Game of the Olympic Games,X360,2012,Sports,Sega,0.07,0.44,0.0,72.0,7.5,
Madden NFL 2002,XB,2007,Sports,Unknown,0.53,0.02,0.0,90.0,8.1,E
Phineas and Ferb: Across the 2nd Dimension,Wii,2011,Action,Disney Interactive Studios,0.35,0.18,0.0,76.0,8.3,E10+
Theme Park,PS,1994,Simulation,Electronic Arts,0.24,0.16,0.13,72.0,7.5,
Far Cry Instincts,XB,2005,Shooter,Ubisoft,0.32,0.24,0.0,85.0,5.7,M
Tony Hawk's Pro Skater 4,GBA,2002,Sports,Activision,0.41,0.15,0.0,85.0,8.8,E
ATV Offroad Fury: Blazin' Trails,PSP,2005,Racing,SouthPeak Games,0.53,0.0,0.0,63.0,7.8,E
Tales of the Abyss,PS2,2005,Role-Playing,Namco Bandai Games,0.0,0.0,0.57,78.0,8.4,T
Payday 2,X360,2013,Shooter,505 Games,0.33,0.19,0.0,75.0,6.3,M
Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,PS,2000,Strategy,Namco Bandai Games,0.0,0.0,0.54,72.0,7.5,
Blacksite: Area 51,X360,2007,Shooter,Midway Games,0.29,0.22,0.0,62.0,6.1,T
Spyro Orange: The Cortex Conspiracy,GBA,2004,Action,Vivendi Games,0.41,0.15,0.0,60.0,7.0,E
XCOM: Enemy Unknown,PS3,2012,Strategy,Take-Two Interactive,0.24,0.23,0.0,89.0,8.2,M
Beyond The Beyond,PS,1995,Role-Playing,Sony Computer Entertainment,0.11,0.08,0.35,72.0,7.5,
Ben 10: Alien Force,PS2,2008,Action,Koch Media,0.22,0.02,0.0,72.0,5.3,E10+
Skylanders: Spyro's Adventure,3DS,2011,Action,Activision,0.32,0.2,0.0,82.0,4.9,E10+
The Sims 3: World Adventures,PC,2009,Simulation,Electronic Arts,0.02,0.18,0.0,81.0,8.0,T
Madden NFL 06,GC,2005,Sports,Electronic Arts,0.44,0.11,0.0,86.0,8.5,E
Mega Man Star Force 2: Zerker x Ninja / Saurian,DS,2007,Action,Capcom,0.24,0.0,0.31,72.0,7.5,
Titanfall 2,XOne,2016,Shooter,Electronic Arts,0.37,0.15,0.0,87.0,8.0,M
BlazBlue: Calamity Trigger,PS3,2009,Fighting,PQube,0.36,0.1,0.06,87.0,8.4,T
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",Wii,2007,Action,Activision,0.5,0.03,0.0,72.0,7.5,
Iron Man,X360,2008,Action,Sega,0.27,0.24,0.0,45.0,5.9,T
Naruto: Ultimate Ninja 2,PS2,2004,Fighting,Namco Bandai Games,0.47,0.02,0.0,73.0,7.9,T
The Mysterious Murasame Castle,NES,1986,Action,Nintendo,0.0,0.0,0.57,72.0,7.5,
NBA Hangtime,N64,1997,Sports,GT Interactive,0.48,0.08,0.0,72.0,7.5,
NHL 10,PS3,2009,Sports,Electronic Arts,0.38,0.12,0.0,88.0,7.9,E10+
Zumba Fitness,PS3,2010,Sports,505 Games,0.28,0.21,0.0,72.0,3.8,E
Rock Band 3,PS3,2010,Misc,MTV Games,0.43,0.08,0.0,91.0,8.0,T
Blood Wake,XB,2001,Shooter,Microsoft Game Studios,0.43,0.12,0.0,71.0,7.5,T
Dynasty Warriors 5: Xtreme Legends,PS2,2005,Action,Tecmo Koei,0.11,0.08,0.35,57.0,9.1,T
Harvest Moon: Sunshine Islands,DS,2008,Simulation,Rising Star Games,0.35,0.03,0.17,72.0,7.5,
WWE 2K15,XOne,2014,Sports,Take-Two Interactive,0.29,0.23,0.0,56.0,5.7,T
FIFA World Cup Germany 2006,PS2,2006,Sports,Electronic Arts,0.47,0.02,0.0,77.0,8.1,E
Wreckless: ThE YaKuza MisSiOns,XB,2002,Racing,Activision,0.42,0.11,0.02,74.0,5.2,T
Super Bomberman,SNES,1992,Puzzle,Hudson Soft,0.0,0.0,0.57,72.0,7.5,
Defiance,X360,2013,Shooter,Trion Worlds,0.38,0.14,0.0,60.0,7.2,M
Disgaea 4: A Promise Unforgotten,PS3,2011,Role-Playing,Nippon Ichi Software,0.27,0.11,0.14,80.0,7.8,T
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,DS,2008,Action,THQ,0.52,0.0,0.0,72.0,6.0,E
SpongeBob SquarePants: Battle for Bikini Bottom,XB,2003,Platform,THQ,0.45,0.1,0.0,70.0,8.9,E
Doom 3 BFG Edition,PS3,2012,Shooter,Bethesda Softworks,0.26,0.21,0.0,67.0,6.4,M
SD Gundam G Generation Neo,PS2,2002,Strategy,Namco Bandai Games,0.0,0.0,0.57,72.0,7.5,
Spider-Man 3,X360,2007,Platform,Activision,0.49,0.04,0.0,63.0,7.0,T
Pro Evolution Soccer 2012,PSP,2011,Action,Konami Digital Entertainment,0.1,0.11,0.29,74.0,6.3,E
The Conduit,Wii,2009,Shooter,Sega,0.28,0.23,0.0,69.0,8.2,T
Just Dance 2016,WiiU,2015,Misc,Ubisoft,0.27,0.25,0.0,73.0,6.9,E10+
Disney Universe,X360,2011,Action,Disney Interactive Studios,0.37,0.14,0.0,66.0,5.3,E10+
RalliSport Challenge,XB,2002,Racing,Microsoft Game Studios,0.39,0.16,0.0,87.0,8.3,E
Resident Evil Outbreak File #2,PS2,2004,Action,Capcom,0.19,0.15,0.17,58.0,7.7,M
Top Spin 3,PS3,2008,Action,Take-Two Interactive,0.08,0.36,0.0,75.0,7.5,E
Bob the Builder: Can We Fix It?,PS,2000,Action,THQ,0.31,0.21,0.0,72.0,7.5,
XIII,PS2,2003,Shooter,Ubisoft,0.28,0.22,0.0,73.0,8.6,M
Tomb Raider: Anniversary,PSP,2007,Action,Eidos Interactive,0.21,0.22,0.0,78.0,8.2,T
Rune Factory 4,3DS,2012,Role-Playing,Xseed Games,0.32,0.0,0.21,78.0,8.1,E10+
3D Dot Game Heroes,PS3,2009,Role-Playing,SouthPeak Games,0.36,0.11,0.03,77.0,8.0,E10+
Up,Wii,2009,Action,THQ,0.22,0.28,0.0,62.0,8.0,E10+
Breath of Fire IV,PS,2000,Role-Playing,Capcom,0.11,0.08,0.34,83.0,8.9,T
Tales of Zestiria,PS3,2015,Role-Playing,Namco Bandai Games,0.05,0.07,0.42,72.0,8.0,T
True Crime: Streets of LA,GC,2003,Action,Activision,0.44,0.11,0.0,77.0,7.3,M
Odin Sphere,PS2,2007,Role-Playing,Square Enix,0.23,0.18,0.09,83.0,8.6,T
The Incredible Hulk,GBA,2003,Action,Universal Interactive,0.4,0.15,0.0,72.0,7.5,
Xenoblade Chronicles,3DS,2015,Role-Playing,Nintendo,0.27,0.14,0.12,72.0,7.5,
Titanfall,PC,2014,Shooter,Electronic Arts,0.22,0.3,0.0,86.0,6.2,M
Arena Football,PS2,2006,Sports,Electronic Arts,0.28,0.22,0.0,66.0,8.6,E10+
The Lord of the Rings: The Return of the King,GBA,2003,Action,Electronic Arts,0.4,0.15,0.0,77.0,8.2,T
NHL Hitz 20-02,PS2,2001,Sports,Midway Games,0.28,0.22,0.0,78.0,7.6,E
The Legend of Spyro: Dawn of the Dragon,Wii,2008,Platform,Vivendi Games,0.34,0.17,0.0,64.0,6.5,E10+
Classic NES Series: Dr. Mario,GBA,2004,Puzzle,Nintendo,0.31,0.11,0.13,66.0,7.5,E
The Sims: Bustin' Out,XB,2003,Simulation,Electronic Arts,0.4,0.14,0.0,81.0,8.9,T
NCAA March Madness 07,PS2,2007,Sports,Electronic Arts,0.28,0.22,0.0,63.0,8.6,E
"Monsters, Inc. Scream Team",PS,2001,Platform,Sony Computer Entertainment,0.31,0.21,0.0,65.0,6.9,E
"Warhammer 40,000: Space Marine",X360,2011,Shooter,THQ,0.25,0.26,0.0,76.0,7.8,M
Top Spin 3,X360,2008,Action,Take-Two Interactive,0.09,0.4,0.0,78.0,7.6,E
Yu-Gi-Oh! World Championship Tournament 2004,GBA,2004,Misc,Konami Digital Entertainment,0.4,0.15,0.0,72.0,7.5,
Cabela's Big Game Hunter 2005 Adventures,PS2,2004,Sports,Activision,0.28,0.21,0.0,55.0,8.4,T
LEGO Rock Band,X360,2009,Misc,Warner Bros. Interactive Entertainment,0.4,0.11,0.0,71.0,7.2,E10+
Army Men: Sarge's Heroes,PS,1999,Action,3DO,0.31,0.21,0.0,72.0,7.5,
Battlefield 2: Modern Combat,XB,2005,Shooter,Electronic Arts,0.39,0.15,0.0,80.0,8.2,T
Tom Clancy's HAWX,PS3,2009,Action,Ubisoft,0.21,0.22,0.05,74.0,8.1,T
All-Star Baseball 2002,PS2,2001,Sports,Acclaim Entertainment,0.27,0.21,0.0,77.0,7.6,E
Backyard NFL Football,GBA,2002,Sports,Infogrames,0.4,0.15,0.0,72.0,7.5,
Minecraft: Story Mode,XOne,2015,Adventure,Mojang,0.3,0.21,0.0,72.0,7.5,
Need for Speed: Most Wanted,GC,2005,Racing,Electronic Arts,0.43,0.11,0.0,80.0,9.1,T
NASCAR Rumble,PS,2000,Racing,Electronic Arts,0.31,0.21,0.0,72.0,7.5,
Bolt,Wii,2008,Adventure,Disney Interactive Studios,0.19,0.31,0.0,50.0,5.8,E10+
WWE Raw 2,XB,2003,Fighting,THQ,0.43,0.11,0.0,68.0,7.3,T
Resident Evil 2,N64,1999,Action,Virgin Interactive,0.39,0.09,0.07,72.0,7.5,
Mega Man X2,SNES,1993,Platform,Laguna,0.09,0.02,0.45,72.0,7.5,
Manhunt 2,PS2,2007,Action,Take-Two Interactive,0.27,0.21,0.0,67.0,7.8,M
Fullmetal Alchemist and the Broken Angel,PS2,2003,Role-Playing,Square Enix,0.15,0.12,0.26,56.0,8.1,T
Tony Hawk's Project 8,PSP,2006,Sports,Activision,0.41,0.07,0.0,68.0,7.6,T
Hamtaro: Ham-Hams Unite!,GB,2001,Role-Playing,Nintendo,0.0,0.0,0.56,72.0,7.5,
Batman Begins,PS2,2005,Action,Electronic Arts,0.27,0.21,0.0,64.0,7.3,T
Dogz,DS,2006,Simulation,Ubisoft,0.5,0.01,0.0,72.0,7.8,E
Yokai Sangokushi,3DS,2016,Action,Level 5,0.0,0.0,0.56,72.0,7.5,
Tony Hawk's Proving Ground,X360,2007,Sports,Activision,0.49,0.02,0.0,72.0,5.4,T
Dr. Seuss' The Cat in the Hat,PS2,2003,Misc,Vivendi Games,0.27,0.21,0.0,56.0,6.5,E
Barbie Groovy Games,GBA,2002,Misc,Universal Interactive,0.4,0.15,0.0,47.0,7.0,E
Wolfenstein,X360,2009,Shooter,Activision,0.28,0.22,0.0,72.0,7.5,M
Yu-Gi-Oh! Reshef of Destruction,GBA,2003,Strategy,Konami Digital Entertainment,0.4,0.15,0.0,72.0,7.5,
Blinx: The Time Sweeper,XB,2002,Platform,Microsoft Game Studios,0.39,0.15,0.0,71.0,8.0,E
ESPN NFL Football,PS2,2003,Sports,Sega,0.27,0.21,0.0,91.0,8.5,E
Fatal Fury Special,SNES,1994,Fighting,Takara,0.0,0.0,0.56,72.0,7.5,
Major League Baseball 2K5,XB,2005,Sports,Take-Two Interactive,0.52,0.02,0.0,81.0,8.2,E
Tetris Party Deluxe,Wii,2010,Puzzle,Nintendo,0.33,0.16,0.02,72.0,5.8,E
DS Bimoji Training,DS,2008,Misc,Nintendo,0.0,0.0,0.56,72.0,7.5,
Gravity Rush,PSV,2012,Action,Sony Computer Entertainment,0.21,0.17,0.09,83.0,8.5,T
Quantum Break,XOne,2016,Action,Microsoft Game Studios,0.3,0.2,0.01,77.0,6.8,M
Archer Maclean's Mercury,PSP,2005,Puzzle,Ignition Entertainment,0.17,0.24,0.0,75.0,6.6,E
TMNT,X360,2007,Action,Ubisoft,0.48,0.03,0.0,58.0,6.3,E10+
Middle-Earth: Shadow of Mordor,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.2,0.26,0.01,72.0,3.4,M
Soldier of Fortune: Gold Edition,PS2,2001,Shooter,Codemasters,0.27,0.21,0.0,59.0,6.8,M
FIFA 15,Wii,2014,Sports,Electronic Arts,0.15,0.37,0.0,72.0,4.3,E
Final Fantasy IV: The Complete Collection,PSP,2011,Role-Playing,Square Enix,0.13,0.09,0.27,77.0,7.5,E10+
Frontlines: Fuel of War,X360,2008,Shooter,THQ,0.34,0.15,0.01,75.0,7.8,T
MX 2002 Featuring Ricky Carmichael,PS2,2001,Racing,THQ,0.27,0.21,0.0,76.0,8.3,E
NCAA Football 07,XB,2006,Sports,Electronic Arts,0.42,0.12,0.0,88.0,6.9,E
Lunar: Silver Star Story Complete,PS,1998,Role-Playing,Kadokawa Shoten,0.27,0.18,0.06,78.0,9.1,T
Harvest Moon: The Tale of Two Towns,DS,2010,Simulation,Natsume,0.25,0.05,0.22,68.0,7.5,E
No More Heroes,Wii,2007,Action,Rising Star Games,0.29,0.17,0.04,83.0,8.4,M
NBA Showtime: NBA on NBC,PS,1999,Sports,Midway Games,0.31,0.21,0.0,72.0,7.5,
God of War: Origins Collection,PS3,2011,Action,Sony Computer Entertainment,0.39,0.08,0.02,84.0,8.4,M
Dora The Explorer: Dora Saves the Snow Princess,Wii,2008,Platform,Take-Two Interactive,0.49,0.02,0.0,47.0,7.0,E
Soul Reaver 2,PS2,2001,Action,Eidos Interactive,0.27,0.21,0.0,80.0,8.5,M
Metal Gear Solid 3: Subsistence,PS2,2005,Action,Konami Digital Entertainment,0.34,0.01,0.15,94.0,9.3,M
The Godfather (old US sales),XB,2006,Action,Electronic Arts,0.42,0.11,0.0,72.0,7.5,
Enslaved: Odyssey to the West,PS3,2010,Action,Namco Bandai Games,0.24,0.22,0.01,80.0,7.4,T
Daytona USA,SAT,1994,Racing,Sega,0.0,0.0,0.55,72.0,7.5,
WWF Raw,XB,2002,Fighting,THQ,0.4,0.13,0.0,68.0,6.6,T
Shin Super Robot Taisen,PS,1996,Role-Playing,Banpresto,0.0,0.0,0.52,72.0,7.5,
Jump Super Stars,DS,2005,Fighting,Nintendo,0.0,0.0,0.55,72.0,7.5,
Guitar Hero Live,XOne,2015,Misc,Activision,0.3,0.2,0.0,81.0,5.1,T
The Activision Decathlon,2600,1982,Sports,Activision,0.52,0.03,0.0,72.0,7.5,
Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~,PS,2001,Shooter,D3Publisher,0.31,0.21,0.0,72.0,7.5,
Fighting Force 2,PS,1999,Action,Eidos Interactive,0.31,0.21,0.0,72.0,7.5,
Sakura Wars,SAT,1996,Adventure,Sega,0.0,0.0,0.55,72.0,7.5,
Catz,DS,2006,Simulation,Ubisoft,0.49,0.02,0.0,72.0,5.3,E
Extermination,PS2,2001,Action,Sony Computer Entertainment,0.21,0.16,0.12,67.0,7.8,M
Batman: Vengeance,PS2,2001,Adventure,Ubisoft,0.27,0.21,0.0,68.0,6.7,T
Ratchet & Clank: Quest for Booty,PS3,2008,Platform,Sony Computer Entertainment,0.0,0.52,0.0,72.0,7.5,
Derby Stallion 04,PS2,2004,Sports,Enterbrain,0.0,0.0,0.55,72.0,7.5,
Rapala Tournament Fishing!,Wii,2006,Sports,Activision,0.51,0.0,0.0,72.0,7.5,
Hot Shots Golf: World Invitational,PSV,2011,Sports,Sony Computer Entertainment,0.15,0.11,0.25,76.0,8.1,E
Tony Hawk's Pro Skater 3,XB,2002,Sports,Activision,0.34,0.18,0.0,93.0,8.4,T
